1 4457,4541
2 215,4622
3 1062,1312
4 4964,5050
5 1300,409
6 1746,1767
7 1965,296
8 170,807
9 112,1319
10 2059,294
11 290,3752
12 2365,4466
13 2172,2174
14 4211,968
15 185,3435
16 78,795
17 1820,2753
18 1717,642
19 170,199
20 3414,3534
21 1765,846
22 417,4916
23 210,983
24 3337,3346
25 2691,5570
26 148,756
27 3344,4838
28 1407,1413
29 5144,5146
30 3965,3969
31 1473,2227
32 1101,738
33 2033,5729
34 3934,3936
35 1019,174
36 3055,3056
37 1522,294
38 2650,3059
39 170,1782
40 1324,4165
41 1958,399
42 4473,6670
43 1661,6093
44 208,3179
45 349,5652
46 1468,399
47 2663,4967
48 3436,3440
49 3823,4976
50 2155,2234
51 2910,3518
52 1160,1666
53 145,6923
54 5098,597
55 721,727
56 693,78
57 5036,6962
58 1525,3199
59 161,340
60 138,3882
61 232,69
62 1561,2390
63 5513,6469
64 1390,649
65 1995,438
66 1898,2678
67 4305,4849
68 2762,284
69 1305,93
70 1049,349
71 7558,7559
72 148,4653
73 110,4294
74 1924,274
75 3893,6156
76 1066,2796
77 1360,532
78 7375,7376
79 4369,4373
80 3745,7500
81 1595,5350
82 4193,4349
83 4759,793
84 580,583
85 6305,669
86 3670,7499
87 2420,2421
88 208,2709
89 1608,1610
90 22,5948
91 62,64
92 1232,236
93 1571,803
94 6516,859
95 4880,6391
96 3959,977
97 2370,6658
98 4294,987
99 1185,1187
100 1305,1311
101 1208,3390
102 702,949
103 2220,2222
104 315,4165
105 1084,508
106 1863,6657
107 6131,680
108 212,6158
109 3214,693
110 2896,2903
111 3264,36
112 5853,5854
113 2415,475
114 323,823
115 5245,6309
116 3558,5598
117 6703,6704
118 2157,4303
119 1230,693
120 2768,493
121 1854,2896
122 4482,738
123 1266,3266
124 1312,6195
125 1900,2779
126 1672,1677
127 2895,5088
128 1024,552
129 1579,2010
130 1716,7542
131 213,219
132 2234,3346
133 1489,1623
134 7097,7098
135 141,2902
136 4134,4677
137 3530,371
138 350,360
139 1964,4434
140 1338,6183
141 3650,429
142 5925,7790
143 2373,45
144 1598,1732
145 266,5571
146 30,32
147 4322,4329
148 5679,7381
149 3390,4960
150 1930,4716
151 2376,606
152 11,7580
153 1630,6778
154 1204,738
155 282,359
156 1631,787
157 260,6568
158 6101,6102
159 5413,811
160 1580,3091
161 4168,7152
162 5959,6307
163 3656,501
164 1057,179
165 7229,833
166 2597,325
167 3659,878
168 185,4994
169 1120,1769
170 739,742
171 401,4871
172 1079,551
173 3608,4044
174 2644,2664
175 7945,7946
176 8,9
177 1580,4871
178 3364,3365
